onset	duration	trial_type	trial_type_2	response_time	identifier	database
0.059	3	Congruent	-	-0.099	M9FS_6104	DEFSS
4.114	4	Congruent	-	0.905	F13HA_5265	DEFSS
9.169	2.5	Incongruent	pCI	0.885	M4HA_4877	DEFSS
12.728	2	Incongruent	pII	1.023	F7FS_4016	DEFSS
15.779	3.5	Congruent	-	0.664	F30HS_8495	DEFSS
20.349	2	Congruent	-	0.689	M4FA_4941	DEFSS
23.418	3.5	Incongruent	pCI	0.931	F32FA_8053	DEFSS
27.987	3	Incongruent	pII	0.762	M10HS_6767	DEFSS
32.036	4	Congruent	-	0.77	F23HA_7156	DEFSS
37.103	2.5	Congruent	-	0.792	F13FS_5292	DEFSS
40.648	3.5	Incongruent	pCI	0.806	F4HS_3664	DEFSS
45.193	2	Incongruent	pII	0.572	M20HA_9192	DEFSS
48.237	2.5	Congruent	-	0.749	F18FA_6243	DEFSS
51.806	3	Congruent	-	0.542	M18HS_8848	DEFSS
55.855	4	Incongruent	pCI	0.794	M14FS_7958	DEFSS
60.924	3	Incongruent	pII	0.543	F39HA_9433	DEFSS
64.97	4	Congruent	-	0.807	M10_FA_6823	DEFSS
70.018	3.5	Congruent	-	0.586	F12HS_5000	DEFSS
74.565	2.5	Incongruent	pCI	0.673	M17FA_8799	DEFSS
78.114	2	Incongruent	pII	0.823	F2FS_3470	DEFSS
81.185	2	Congruent	-	0.638	M14HA_7913	DEFSS
84.256	3	Congruent	-	0.892	F7HA_3985	DEFSS
88.303	4	Incongruent	pCI	0.695	M2FS_4636	DEFSS
93.373	2.5	Incongruent	pII	0.858	F18HS_6186	DEFSS
96.946	3.5	Congruent	-	0.708	F39FA_9489	DEFSS
101.52	3	Congruent	-	0.581	M2HS_4493	DEFSS
105.568	4	Incongruent	pCI	1.043	F1HA_3424	DEFSS
110.615	2	Incongruent	pII	0.782	M6FA__5449	DEFSS
113.66	2.5	Congruent	-	0.739	M19FS_9117	DEFSS
117.228	3.5	Congruent	-	0.52	F35HS_8418	DEFSS
121.776	2	Incongruent	pCI	-0.099	F16FS_5978	DEFSS
124.819	3	Incongruent	pII	0.797	M1FA_4336	DEFSS
128.892	2.5	Congruent	-	0.626	M9HA_6057	DEFSS
132.46	4	Congruent	-	0.811	F4FA_3712	DEFSS
137.504	3.5	Incongruent	pCI	0.995	M15HS_8316	DEFSS
142.075	4	Incongruent	pII	0.636	F21FS_6587	DEFSS
147.147	2	Congruent	-	0.495	F19HA_6311	DEFSS
150.191	2.5	Congruent	-	0.605	M10_4FS_6817	DEFSS
153.738	3.5	Incongruent	pCI	0.713	F2HS_3448	DEFSS
158.306	3	Incongruent	pII	0.782	F10HA_4379	DEFSS
162.376	3.5	Congruent	-	0.617	M14FA_7960	DEFSS
166.922	4	Congruent	-	0.783	F30FA_8552	DEFSS
171.992	2.5	Incongruent	pCI	0.695	M8HA_5828	DEFSS
175.539	2	Incongruent	pII	0.796	F35FS_8451	DEFSS
178.586	3	Congruent	-	0.849	M1HS_4301	DEFSS
182.631	2.5	Congruent	-	0.469	F37FA_9020	DEFSS
186.199	3.5	Incongruent	pCI	1.064	M11FS_6953	DEFSS
190.744	2	Incongruent	pII	0.935	F34HA_8219	DEFSS
193.791	4	Congruent	-	0.871	F10FS_4426	DEFSS
198.862	3	Congruent	-	0.543	M16HS_8633	DEFSS
202.932	2	Incongruent	pCI	0.955	M5HA_5140	DEFSS
206.001	4	Incongruent	pII	0.834	F12FA_5062	DEFSS
211.05	3.5	Congruent	-	0.598	F16HS_5924	DEFSS
215.593	3	Congruent	-	0.748	M2FA_4644	DEFSS
219.641	2.5	Incongruent	pCI	0.892	M16FS_8676	DEFSS
223.207	3	Incongruent	pII	0.925	F6HA_3882	DEFSS
227.278	2	Congruent	-	0.753	F19FS_6344	DEFSS
230.321	3.5	Congruent	-	0.717	M8FA_5885	DEFSS
234.867	4	Incongruent	pCI	0.761	F32HS_7996	DEFSS
239.937	2.5	Incongruent	pII	0.75	M19HA_9066	DEFSS
243.506	2	Congruent	-	0.838	M3FS_4775	DEFSS
246.576	4	Congruent	-	0.541	F3HA_3545	DEFSS
251.646	3.5	Incongruent	pCI	0.908	M9FA_6121	DEFSS
256.215	3	Incongruent	pII	0.921	F14FA_5638	DEFSS
260.285	2.5	Congruent	-	0.597	M6HS_5354	DEFSS
263.833	3.5	Congruent	-	0.693	F21HS_6544	DEFSS
268.402	2	Incongruent	pCI	0.746	M17FS_8783	DEFSS
271.473	2.5	Incongruent	pII	1.03	F37HA_8965	DEFSS
275.02	4	Congruent	-	0.686	M12HA_7030	DEFSS
280.088	3	Congruent	-	0.974	F31FS_7861	DEFSS
